Đường,Phường,Quận/Huyện,Thành phố,Hashtag,Gói tin,Loại phòng,Diện tích (m²),Giá phòng (triệu/tháng)
Địa chỉ: Đường Trần Hưng Đạo,Phường Phạm Ngũ Lão,Quận 1,Thành phố Hồ Chí Minh,663993,Tin thường,Cho thuê căn hộ dịch vụ Quận 1, 45m,7.7
Địa chỉ: Đường Nguyễn Duy Trinh,Phường Bình Trưng Tây,Quận 2,Thành phố Hồ Chí Minh,622121,Tin thường,Phòng trọ Quận 2, 35m,4
Địa chỉ: Đường Quốc Hương,Phường Thảo Điền,Quận 2,Thành phố Hồ Chí Minh,627793,Tin thường,Cho thuê căn hộ dịch vụ Quận 2, 40m,7.5
Địa chỉ: Đường Trần Não,Phường An Khánh,Quận 2,Thành phố Hồ Chí Minh,619894,Tin thường,Cho thuê căn hộ Quận 2, 40m,6.5
Địa chỉ: Đường Tạ Hiện,Phường Thạnh Mỹ Lợi,Quận 2,Thành phố Hồ Chí Minh,653152,Tin thường,Cho thuê căn hộ dịch vụ Quận 2, 40m,7
Địa chỉ: Đường Mai Chí Thọ,Phường An Phú,Quận 2,Thành phố Hồ Chí Minh,653342,Tin thường,Cho thuê căn hộ dịch vụ Quận 2, 70m,7
Địa chỉ: Đường Tạ Hiện,Phường Bình Trưng Tây,Quận 2,Thành phố Hồ Chí Minh,622741,Tin thường,Cho thuê căn hộ Quận 2, 40m,5.4
Địa chỉ: Đường Nguyễn Văn Hưởng,Phường Thảo Điền,Quận 2,Thành phố Hồ Chí Minh,621748,Tin thường,Cho thuê căn hộ dịch vụ Quận 2, 50m,6.5
Địa chỉ: Đường Nguyễn Thị Định,Phường Bình Trưng Tây,Quận 2,Thành phố Hồ Chí Minh,624976,Tin thường,Phòng trọ Quận 2, 35m,4.3
,Phường 9,Quận Tân Bình,Thành phố Hồ Chí Minh,663994,Tin thường,Phòng trọ Quận Tân Bình, 28m,4.3
Địa chỉ: Đường số 19,Phường An Khánh,Quận 2,Thành phố Hồ Chí Minh,663995,Tin thường,Cho thuê căn hộ dịch vụ Quận 2, 35m,5.5
,Phường 14,Quận 11,Thành phố Hồ Chí Minh,663996,Tin thường,Phòng trọ Quận 11, 35m,4.5
Địa chỉ: Đường Tạ Hiện,Phường Thạnh Mỹ Lợi,Quận 2,Thành phố Hồ Chí Minh,663997,Tin thường,Cho thuê căn hộ dịch vụ Quận 2, 50m,9
Địa chỉ: 549/89/13 Đường Xô Viết Nghệ Tĩnh,Phường 26,Quận Bình Thạnh,Thành phố Hồ Chí Minh,603661,Tin thường,Phòng trọ Quận Bình Thạnh, 12m,1.7
Địa chỉ: Đường Cô Bắc,Phường Cô Giang,Quận 1,Thành phố Hồ Chí Minh,276079,Tin miễn phí,Tìm người ở ghép Quận 1, 20m,1.5
Địa chỉ: 622 Đường Lạc Long Quân,Phường Nhật Tân,Quận Tây Hồ,Thành phố Hồ Chí Minh,586622,Tin thường,Phòng trọ Quận Tây Hồ, 28m,4.5
Địa chỉ: 86 Đường Nguyễn Thông,Phường 9,Quận 3,Thành phố Hồ Chí Minh,129272,Tin thường,Tìm người ở ghép Quận 3, 30m,0.7
Địa chỉ: Đường Bạch Đằng,Phường 2,Quận Tân Bình,Thành phố Hồ Chí Minh,664054,Tin miễn phí,Cho thuê căn hộ mini Quận Tân Bình, 50m,6
Địa chỉ: Đường Bùi Văn Ba,Phường Tân Thuận Đông,Quận 7,Thành phố Hồ Chí Minh,643955,Tin thường,Phòng trọ Quận 7, 30m,3.9
,Phường Tân Thuận Đông,Quận 7,Thành phố Hồ Chí Minh,645523,Tin thường,Phòng trọ Quận 7, 30m,3.5
,Phường 14,Quận 10,Thành phố Hồ Chí Minh,654853,Tin thường,Phòng trọ Quận 10, 60m,1.4
Địa chỉ: 17/1A Đường Hồ Văn Huê,Phường 9,Quận Phú Nhuận,Thành phố Hồ Chí Minh,648116,Tin thường,Phòng trọ Quận Phú Nhuận, 65m,1.5
Địa chỉ: Đường Trung Mỹ Tây,Phường Trung Mỹ Tây,Quận 12,Thành phố Hồ Chí Minh,664059,Tin miễn phí,Phòng trọ Quận 12, 28m,3.8
Địa chỉ: 76 Đường Lâm Văn Bền,Phường Tân Quy,Quận 7,Thành phố Hồ Chí Minh,664058,Tin thường,Phòng trọ Quận 7, 25m,4.5
Địa chỉ: Đường Nguyễn Văn Cừ,Phường 1,Quận 8,Thành phố Hồ Chí Minh,664060,Tin thường,Cho thuê căn hộ dịch vụ Quận 8, 30m,8
Địa chỉ: Đường Nguyễn Văn Linh,Phường Tân Thuận Tây,Quận 7,Thành phố Hồ Chí Minh,619072,Tin thường,Phòng trọ Quận 7, 25m,2.8
Địa chỉ: Hẻm 184 Đường Lê Đình Cẩn,Phường Tân Tạo,Quận Bình Tân,Thành phố Hồ Chí Minh,664062,Tin miễn phí,Phòng trọ Quận Bình Tân, 20m,3
,Phường Tân Hưng,Quận 7,Thành phố Hồ Chí Minh,598915,Tin thường,Phòng trọ Quận 7, 30m,2.8
Địa chỉ: 148/20 Đường số 3 Cư xá Lữ Gia,Phường 15,Quận 11,Thành phố Hồ Chí Minh,607522,Tin thường,Phòng trọ Quận 11, 9m,1.4
Địa chỉ: 47/29/31 Đường Trần Quốc Toản,Phường Võ Thị Sáu,Quận 3,Thành phố Hồ Chí Minh,664065,Tin miễn phí,Cho thuê nhà Quận 3, 100m,11
Địa chỉ: 215 Đường Nguyễn Văn Hưởng,Phường Thảo Điền,Quận 2,Thành phố Hồ Chí Minh,589594,Tin thường,Phòng trọ Quận 2, 40m,1.9
Địa chỉ: Đường Lê Lợi,Phường 4,Quận Gò Vấp,Thành phố Hồ Chí Minh,664064,Tin thường,Cho thuê nhà Quận Gò Vấp, 80m,25
Địa chỉ: Phố Nguyễn Xí,Phường 13,Quận Bình Thạnh,Thành phố Hồ Chí Minh,597937,Tin thường,Phòng trọ Quận Bình Thạnh, 22m,5.5
,Phường 6,Quận 5,Thành phố Hồ Chí Minh,648119,Tin thường,Phòng trọ Quận 5, 60m,1.4
,Phường Bình Trị Đông,Quận Bình Tân,Thành phố Hồ Chí Minh,664012,Tin thường,Phòng trọ Quận Bình Tân, 30m,4
Địa chỉ: Đường Đặng Thuỳ Trâm,Phường 13,Quận Bình Thạnh,Thành phố Hồ Chí Minh,663505,Tin thường,Phòng trọ Quận Bình Thạnh, 50m,1.6
Địa chỉ: Đường Phan Khiêm Ích,Phường Tân Phong,Quận 7,Thành phố Hồ Chí Minh,664011,Tin thường,Cho thuê căn hộ dịch vụ Quận 7, 35m,7.5
Địa chỉ: Đường Nguyễn Văn Đậu,Phường 11,Quận Bình Thạnh,Thành phố Hồ Chí Minh,662704,Tin thường,Phòng trọ Quận Bình Thạnh, 20m,3.9
Địa chỉ: 441 Đường Điện Biên Phủ,Phường 25,Quận Bình Thạnh,Thành phố Hồ Chí Minh,645902,Tin thường,Phòng trọ Quận Bình Thạnh, 40m,1.8
Địa chỉ: 1 Đường Huỳnh Lan Khanh,Phường 2,Quận Tân Bình,Thành phố Hồ Chí Minh,642942,Tin thường,Phòng trọ Quận Tân Bình, 40m,1.2
,Phường 3,Quận Gò Vấp,Thành phố Hồ Chí Minh,662030,Tin thường,Phòng trọ Quận Gò Vấp, 12m,2.79
Địa chỉ: Số 48,Phường 16,Quận 8,Thành phố Hồ Chí Minh,664013,Tin thường,Phòng trọ Quận 8, 18m,1.5
Địa chỉ: 31/22 Đường Lê Lai,Phường 3,Quận Gò Vấp,Thành phố Hồ Chí Minh,662034,Tin thường,Phòng trọ Quận Gò Vấp, 14m,2.89
,Phường Khương Thượng,Quận Đống Đa,Thành phố Hồ Chí Minh,615357,Tin miễn phí,Phòng trọ Quận Đống Đa, 20m,2.5
Địa chỉ: Tk 15/11 Đường Nguyễn Cảnh Chân,Phường Cầu Kho,Quận 1,Thành phố Hồ Chí Minh,288597,Tin thường,Phòng trọ Quận 1, 20m,2.5
,Phường Tân Phong,,Không rõ,664067,Tin miễn phí,Phòng trọ Thành Phố Biên Hòa, 32m,2.2
Địa chỉ: Đường Nguyễn Lương Bằng,Phường Phú Mỹ,Quận 7,Thành phố Hồ Chí Minh,664017,Tin thường,Phòng trọ Quận 7, 10m,1.8
,Phường Nguyễn Cư Trinh,Quận 1,Thành phố Hồ Chí Minh,664015,Tin thường,Phòng trọ Quận 1, 20m,4.5
,Phường Thạnh Xuân,Quận 12,Thành phố Hồ Chí Minh,660679,Tin thường,Phòng trọ Quận 12, 25m,3.5
Địa chỉ: Đường Lý Phục Man,Phường Bình Thuận,Quận 7,Thành phố Hồ Chí Minh,40457,Tin thường,Phòng trọ Quận 7, 20m,2.8
,Phường Bình Hưng Hòa B,Quận Bình Tân,Thành phố Hồ Chí Minh,662491,Tin miễn phí,Phòng trọ Quận Bình Tân, 25m,3.8
Địa chỉ: 12 Đường Phạm Văn Bạch,Phường 15,Quận Tân Bình,Thành phố Hồ Chí Minh,269758,Tin thường,Phòng trọ Quận Tân Bình, 20m,2.5
Địa chỉ: Đường Phạm Văn Đồng,Phường Linh Tây,,Không rõ,664016,Tin thường,Cho thuê căn hộ Thủ Đức, 57m,8.5
Địa chỉ: 441/97 Đường Điện Biên Phủ,Phường 25,Quận Bình Thạnh,Thành phố Hồ Chí Minh,664020,Tin miễn phí,Phòng trọ Quận Bình Thạnh, 14m,3.6
Địa chỉ: Đường Ba Vì,Phường 15,Quận 10,Thành phố Hồ Chí Minh,664019,Tin thường,Cho thuê căn hộ dịch vụ Quận 10, 40m,8.7
,Phường 1,Quận 8,Thành phố Hồ Chí Minh,663983,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 8, 35m,6.5
Địa chỉ: Đường Phan Khiêm Ích,Phường Tân Phong,Quận 7,Thành phố Hồ Chí Minh,663984,Tin thường,Cho thuê căn hộ dịch vụ Quận 7, 40m,10
Địa chỉ: 63 Đường Hoa Lan,Phường 7,Quận Phú Nhuận,Thành phố Hồ Chí Minh,663985,Tin miễn phí,Phòng trọ Quận Phú Nhuận, 30m,5
Địa chỉ: Đường D1,Phường Phú Mỹ,Quận 7,Thành phố Hồ Chí Minh,306194,Tin miễn phí,Cho thuê căn hộ Quận 7, 85m,9
Địa chỉ: 5 Đường số 25,Phường Tân Phong,Quận 7,Thành phố Hồ Chí Minh,663987,Tin miễn phí,Cho thuê căn hộ mini Quận 7, 30m,8
,Phường 13,Quận 4,Thành phố Hồ Chí Minh,663986,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 4, 40m,7
Địa chỉ: 31 Đường Trịnh Đình Thảo,Phường Hòa Thạnh,Quận Tân Phú,Thành phố Hồ Chí Minh,647932,Tin thường,Phòng trọ Quận Tân Phú, 30m,4
Địa chỉ: Đường Nguyễn Thần Hiến,Phường 18,Quận 4,Thành phố Hồ Chí Minh,664014,Tin thường,Phòng trọ Quận 4, 18m,3.5
Địa chỉ: 405 Đường Trường Chinh,Phường 14,Quận Tân Bình,Thành phố Hồ Chí Minh,662317,Tin thường,Phòng trọ Quận Tân Bình, 28m,3.7
Địa chỉ: 73 Đường Phạm Văn Bạch,Phường 15,Quận Tân Bình,Thành phố Hồ Chí Minh,661359,Tin thường,Phòng trọ Quận Tân Bình, 30m,3.6
Địa chỉ: 21 Đường Vườn Lài,Phường Phú Thọ Hòa,Quận Tân Phú,Thành phố Hồ Chí Minh,660384,Tin thường,Phòng trọ Quận Tân Phú, 30m,4
Địa chỉ: 578 Phố Lê Trọng Tấn,Phường Tây Thạnh,Quận Tân Phú,Thành phố Hồ Chí Minh,662323,Tin thường,Phòng trọ Quận Tân Phú, 30m,4.5
,Phường Hòa Thạnh,Quận Tân Phú,Thành phố Hồ Chí Minh,661126,Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Phú, 30m,4.6
,Phường 13,Quận Bình Thạnh,Thành phố Hồ Chí Minh,663988,Tin thường,Phòng trọ Quận Bình Thạnh, 25m,3.5
Địa chỉ: 137 Đường Phan Anh,Phường Bình Trị Đông,Quận Bình Tân,Thành phố Hồ Chí Minh,659628,Tin thường,Cho thuê căn hộ dịch vụ Quận Bình Tân, 30m,5
Địa chỉ: 40 Đường Thoại Ngọc Hầu,Phường Hòa Thạnh,Quận Tân Phú,Thành phố Hồ Chí Minh,661214,Tin thường,Cho thuê căn hộ Quận Tân Phú, 30m,4.6
Địa chỉ: 54 Đường Nguyễn Chí Thanh,Phường Láng Hạ,Quận Đống Đa,Thành phố Hồ Chí Minh,662673,Tin thường,Phòng trọ Quận Đống Đa, 20m,1.7
Địa chỉ: Đường Nguyễn Sơn,Phường Phú Thạnh,Quận Tân Phú,Thành phố Hồ Chí Minh,660982,Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Phú, 40m,6
Địa chỉ: 59 Đường Phùng Văn Cung,Phường 2,Quận Phú Nhuận,Thành phố Hồ Chí Minh,614875,Tin thường,Phòng trọ Quận Phú Nhuận, 30m,3.5
Địa chỉ: Đường số 2,Xã Phước Lợi,Huyện Bến Lức,Thành phố Hồ Chí Minh,664037,Tin miễn phí,Cho thuê nhà Huyện Bến Lức, 125m,5
Địa chỉ: 662/41 Đường Sư Vạn Hạnh,Phường 12,Quận 10,Thành phố Hồ Chí Minh,654264,Tin miễn phí,Phòng trọ Quận 10, 28m,5
Địa chỉ: 284/73/1F Phố Lý Thường Kiệt,Phường 14,Quận 10,Thành phố Hồ Chí Minh,280222,Tin thường,Phòng trọ Quận 10, 17m,2.6
Địa chỉ: Đường Âu Cơ,Phường 11,Quận Tân Bình,Thành phố Hồ Chí Minh,664040,Tin thường,Phòng trọ Quận Tân Bình, 30m,4.6
,Phường 11,Quận Gò Vấp,Thành phố Hồ Chí Minh,664043,Tin thường,Phòng trọ Quận Gò Vấp, 25m,3.8
Địa chỉ: 80/4a Đường Lưu Chí Hiếu,Phường Tây Thạnh,Quận Tân Phú,Thành phố Hồ Chí Minh,651659,Tin miễn phí,Phòng trọ Quận Tân Phú, 30m,3.5
Địa chỉ: 41/23 Đường Thạnh Xuân 23,Phường Thạnh Xuân,Quận 12,Thành phố Hồ Chí Minh,663585,Tin thường,Cho thuê căn hộ dịch vụ Quận 12, 45m,2.9
Địa chỉ: 10 Đường Lê Thị Nho,Phường Trung Mỹ Tây,Quận 12,Thành phố Hồ Chí Minh,664045,Tin thường,Phòng trọ Quận 12, 20m,2.9
Địa chỉ: 575 Đường Hậu Giang,Phường 11,Quận 6,Thành phố Hồ Chí Minh,663989,Tin thường,Phòng trọ Quận 6, 28m,4
Địa chỉ: Thành Phố Cao Lãnh,,,Không rõ,617310,Tin thường,Phòng trọ Thành Phố Cao Lãnh, 20m,1.7
Địa chỉ: Đường Nguyễn Văn Lượng,Phường 16,Quận Gò Vấp,Thành phố Hồ Chí Minh,664046,Tin miễn phí,Phòng trọ Quận Gò Vấp, 20m,3.9
Địa chỉ: 70/5 Đường Trần Tuấn Khải,Phường 5,Quận 5,Thành phố Hồ Chí Minh,662614,Tin thường,Phòng trọ Quận 5, 15m,3.6
Địa chỉ: Ngõ 139 Đường Hoa Lâm,Phường Việt Hưng,Quận Long Biên,Thành phố Hồ Chí Minh,663273,Tin thường,Phòng trọ Quận Long Biên, 16m,2
Địa chỉ: Đường Trần Văn Dư,Phường 13,Quận Tân Bình,Thành phố Hồ Chí Minh,664047,Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Bình, 25m,5.5
Địa chỉ: Đường Âu Cơ,Phường Phú Trung,Quận Tân Phú,Thành phố Hồ Chí Minh,663881,Tin thường,Phòng trọ Quận Tân Phú, 20m,4
Địa chỉ: 93 Đường Xô Viết Nghệ Tĩnh,Phường 17,Quận Bình Thạnh,Thành phố Hồ Chí Minh,664050,Tin miễn phí,Phòng trọ Quận Bình Thạnh, 40m,4
Địa chỉ: Đường Nguyễn Thị Minh Khai,Phường Đa Kao,Quận 1,Thành phố Hồ Chí Minh,662303,Tin thường,Phòng trọ Quận 1, 25m,4.5
,Phường 7,Quận Phú Nhuận,Thành phố Hồ Chí Minh,664048,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Phú Nhuận, 35m,6
Địa chỉ: 120 Đường Thích Quảng Đức,Phường 4,Quận Phú Nhuận,Thành phố Hồ Chí Minh,308699,Tin thường,Cho thuê nhà Quận Phú Nhuận, 30m,5.5
,,,Không rõ,664042,Tin miễn phí,Phòng trọ Huyện Long Thành, 15m,0.75
Địa chỉ: Đường Phan Văn Trị,,,Không rõ,664022,Tin thường,Phòng trọ Quận Bình Thạnh, 40m,5.5
Địa chỉ: 68 Đường Trần Quang Khải,Phường Tân Định,Quận 1,Thành phố Hồ Chí Minh,286621,Tin thường,Cho thuê nhà Quận 1, 48m,6
Địa chỉ: Đường Nguyễn Chí Thanh,Phường Láng Hạ,Quận Đống Đa,Thành phố Hồ Chí Minh,664023,Tin miễn phí,Cho thuê căn hộ Quận Đống Đa, 120m,15
Địa chỉ: Đường Đặng Văn Bi,Phường Trường Thọ,Quận Thủ Đức,Thành phố Hồ Chí Minh,626968,Tin thường,Phòng trọ Thủ Đức, 135m,1.5
Địa chỉ: Đường Phan Văn Trị,Phường 7,Quận Gò Vấp,Thành phố Hồ Chí Minh,650504,Tin thường,Phòng trọ Quận Gò Vấp, 35m,1.5
Địa chỉ: 119 Đường Điện Biên Phủ,Phường Đa Kao,Quận 1,Thành phố Hồ Chí Minh,664024,Tin miễn phí,Cho thuê căn hộ mini Quận 1, 35m,8
Địa chỉ: 23 Đường Bình Lợi,Phường 13,Quận Bình Thạnh,Thành phố Hồ Chí Minh,664027,Tin thường,Phòng trọ Quận Bình Thạnh, 30m,1.7
Địa chỉ: Đường Hoàng Hoa Thám,Phường 13,Quận Tân Bình,Thành phố Hồ Chí Minh,664030,Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Bình, 30m,5.8
,Phường 8,Quận 6,Thành phố Hồ Chí Minh,664029,Tin thường,Cho thuê nhà Quận 6, 80m,6
Địa chỉ: Đường số 51,Phường Tân Quy,Quận 7,Thành phố Hồ Chí Minh,664031,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7, 35m,6.5
Địa chỉ: Đường Quốc Lộ 13,Phường Hiệp Bình Phước,Quận Thủ Đức,Thành phố Hồ Chí Minh,305090,Tin thường,Phòng trọ Thủ Đức, 30m,3
,Phường 13,Quận 10,Thành phố Hồ Chí Minh,664032,Tin miễn phí,Phòng trọ Quận 10, 32m,1.35
Địa chỉ: Đường Phạm Hùng,Xã Bình Hưng,Huyện Bình Chánh,Thành phố Hồ Chí Minh,663230,Tin thường,Phòng trọ Huyện Bình Chánh, 30m,5.2
Địa chỉ: Đường Thủ Khoa Huân,Phường Bến Thành,Quận 1,Thành phố Hồ Chí Minh,662296,Tin thường,Cho thuê căn hộ dịch vụ Quận 1, 25m,6
Địa chỉ: 165 Phố Xã Đàn,Phường Nam Đồng,Quận Đống Đa,Thành phố Hồ Chí Minh,648960,Tin thường,Phòng trọ Quận Đống Đa, 20m,1.5
Địa chỉ: 2 Phố Xã Đàn,Phường Phương Liên,Quận Đống Đa,Thành phố Hồ Chí Minh,659912,Tin thường,Phòng trọ Quận Đống Đa, 20m,1.5
Địa chỉ: Đường Lạc Long Quân,Phường 5,Quận 11,Thành phố Hồ Chí Minh,664034,Tin thường,Phòng trọ Quận 11, 30m,4.3
Địa chỉ: Đường Tân Sơn,Phường 15,Quận Tân Bình,Thành phố Hồ Chí Minh,663999,Tin thường,Phòng trọ Quận Tân Bình, 25m,3.8
Địa chỉ: 1075 Đường Hoàng Sa,Phường 11,Quận 3,Thành phố Hồ Chí Minh,615256,Tin thường,Phòng trọ Quận 3, 20m,3.5
,Phường 7,Quận Gò Vấp,Thành phố Hồ Chí Minh,633692,Tin thường,Phòng trọ Quận Gò Vấp, 35m,1.4
,Phường 12,Quận 10,Thành phố Hồ Chí Minh,662944,Tin miễn phí,Phòng trọ Quận 10, 28m,5
Địa chỉ: 453/172 Đường Lê Văn Sỹ,Phường 12,Quận 3,Thành phố Hồ Chí Minh,312182,Tin thường,Phòng trọ Quận 3, 25m,3.3
Địa chỉ: 453/172 Đường Lê Văn Sỹ,Phường 12,Quận Phú Nhuận,Thành phố Hồ Chí Minh,589505,Tin thường,Phòng trọ Quận Phú Nhuận, 25m,3.5
Địa chỉ: 61 Đường Thép Mới,Phường 12,Quận Tân Bình,Thành phố Hồ Chí Minh,659103,Tin thường,Phòng trọ Quận Tân Bình, 25m,4
Địa chỉ: 11b Đường Dân Chủ,Phường Bình Thọ,,Không rõ,664002,Tin miễn phí,Phòng trọ Thủ Đức, 55m,1.9
,Phường 14,Quận 3,Thành phố Hồ Chí Minh,583087,Tin thường,Phòng trọ Quận 3, 25m,3
Địa chỉ: 217 Đường Nguyễn Trọng Tuyển,Phường 8,Quận Phú Nhuận,Thành phố Hồ Chí Minh,309795,Tin thường,Phòng trọ Quận Phú Nhuận, 25m,3
Địa chỉ: Đường Phạm Văn Nghị,Phường Tân Phong,Quận 7,Thành phố Hồ Chí Minh,664004,Tin thường,Cho thuê căn hộ dịch vụ Quận 7, 40m,8
Địa chỉ: Phố Tạ Quang Bửu,Phường Bách Khoa,Quận Hai Bà Trưng,Thành phố Hồ Chí Minh,649657,Tin thường,Phòng trọ Quận Hai Bà Trưng, 20m,1.8
Địa chỉ: 238 Đường Hoàng Quốc Việt,Phường Cổ Nhuế 1,Quận Nam Từ Liêm,Thành phố Hồ Chí Minh,662716,Tin thường,Phòng trọ Quận Nam Từ Liêm, 20m,1.7
Địa chỉ: Phố Lý Thường Kiệt,Phường 14,Quận 10,Thành phố Hồ Chí Minh,606416,Tin thường,Phòng trọ Quận 10, 25m,4.7
Địa chỉ: 40 Đường Trưng Mỹ Tây 14,Phường Trung Mỹ Tây,Quận 12,Thành phố Hồ Chí Minh,664007,Tin thường,Phòng trọ Quận 12, 20m,3.7
Địa chỉ: Đường Trần Hưng Đạo,Phường 2,Quận 5,Thành phố Hồ Chí Minh,664005,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 5, 45m,14
Địa chỉ: Đường Bế Văn Đàn,Phường Dĩ An,Thành phố Dĩ An,Không rõ,663407,Tin thường,Cho thuê căn hộ Thành phố Dĩ An, 35m,5
Địa chỉ: Đường Bế Văn Đàn,Phường Dĩ An,Thành phố Dĩ An,Không rõ,663406,Tin thường,Cho thuê căn hộ Thành phố Dĩ An, 35m,5
Địa chỉ: 35 Đường Tân Thới Nhất 05,Phường Tân Thới Nhất,Quận 12,Thành phố Hồ Chí Minh,664009,Tin thường,Phòng trọ Quận 12, 20m,3.9
Địa chỉ: 291 Đường Trương Văn Bang,Phường Thạnh Mỹ Lợi,Quận 2,Thành phố Hồ Chí Minh,591002,Tin thường,Cho thuê nhà Quận 2, 265m,30
Địa chỉ: Đường Nguyễn Kiệm,Phường 8,Quận Phú Nhuận,Thành phố Hồ Chí Minh,664104,Tin miễn phí,Phòng trọ Quận Phú Nhuận, 20m,3.8
Địa chỉ: Đường Thạnh Lộc 18,Phường Thạnh Lộc,Quận 12,Thành phố Hồ Chí Minh,664105,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 12, 50m,6.7
Địa chỉ: 102/81 Đường Lê Văn Thọ,Phường 11,Quận Gò Vấp,Thành phố Hồ Chí Minh,663133,Tin thường,Phòng trọ Quận Gò Vấp, 30m,4.5
Địa chỉ: Đường Huỳnh Tấn Phát,Phường Tân Phú,Quận 7,Thành phố Hồ Chí Minh,664107,Tin thường,Phòng trọ Quận 7, 35m,4.3
Địa chỉ: Đường Thích Quảng Đức,Phường 3,Quận Phú Nhuận,Thành phố Hồ Chí Minh,664108,Tin miễn phí,Phòng trọ Quận Phú Nhuận, 10m,0.95
Địa chỉ: 94/41 Đường Phú Thọ Hòa,Phường Phú Thọ Hòa,Quận Tân Phú,Thành phố Hồ Chí Minh,664106,Tin thường,Phòng trọ Quận Tân Phú, 13m,1.8
Địa chỉ: Đường Trịnh Khắc Lập,Phường Thạnh Mỹ Lợi,Quận 2,Thành phố Hồ Chí Minh,664110,Tin miễn phí,Phòng trọ Quận 2, 30m,4.3
Địa chỉ: Đường Nguyễn Kiệm,Phường 3,Quận Gò Vấp,Thành phố Hồ Chí Minh,596558,Tin thường,Phòng trọ Quận Gò Vấp, 20m,3.5
Địa chỉ: Đường Quang Trung,Phường 8,Quận Gò Vấp,Thành phố Hồ Chí Minh,664111,Tin thường,Phòng trọ Quận Gò Vấp, 25m,4
Địa chỉ: Đường Trần Văn Đang,Phường 11,Quận 3,Thành phố Hồ Chí Minh,629299,Tin miễn phí,Phòng trọ Quận 3, 22m,2.9
Địa chỉ: Đường Huỳnh Tấn Phát,Thị trấn Nhà Bè,Huyện Nhà Bè,Thành phố Hồ Chí Minh,271580,Tin thường,Cho thuê nhà Huyện Nhà Bè, 70m,5
Địa chỉ: 551/6 Đường Phạm Văn Chí,Phường 7,Quận 6,Thành phố Hồ Chí Minh,281147,Tin thường,Phòng trọ Quận 6, 9m,1.1
Địa chỉ: Đường Lý Chính Thắng,Phường 8,Quận 3,Thành phố Hồ Chí Minh,287038,Tin miễn phí,Phòng trọ Quận 3, 25m,4.3
Địa chỉ: Đường Đào Duy Anh,Phường 9,Quận Phú Nhuận,Thành phố Hồ Chí Minh,664114,Tin thường,Phòng trọ Quận Phú Nhuận, 35m,6
Địa chỉ: 55 Đường Tân Kỳ Tân Quý,Phường Tân Sơn Nhì,Quận Tân Phú,Thành phố Hồ Chí Minh,621816,Tin thường,Phòng trọ Quận Tân Phú, 28m,3.5
Địa chỉ: 427 Đường Lê Văn Quới,Phường Bình Trị Đông A,Quận Bình Tân,Thành phố Hồ Chí Minh,664078,Tin thường,Phòng trọ Quận Bình Tân, 28m,4.5
Địa chỉ: Đường Hoàng Hoa Thám,Phường 2,,Không rõ,630336,Tin thường,Phòng trọ Thành Phố Vũng Tàu, 30m,2.8
Địa chỉ: 92/41 Đường số 12,Phường Bình Hưng Hòa,Quận Bình Tân,Thành phố Hồ Chí Minh,286855,Tin thường,Phòng trọ Quận Bình Tân, 20m,2.3
Địa chỉ: 69 Đường số 4,Phường Tân Tạo A,Quận Bình Tân,Thành phố Hồ Chí Minh,638967,Tin thường,Phòng trọ Quận Bình Tân, 16m,1.7
Địa chỉ: 196/7 Đường Đặng Thuỳ Trâm,Phường 13,Quận Bình Thạnh,Thành phố Hồ Chí Minh,643435,Tin thường,Phòng trọ Quận Bình Thạnh, 18m,4.3
Địa chỉ: Đường Phan Văn Hớn,Phường Tân Thới Nhất,Quận 12,Thành phố Hồ Chí Minh,664082,Tin miễn phí,Phòng trọ Quận 12, 30m,4.5
Địa chỉ: Đường Trịnh Khắc Lập,Phường Thạnh Mỹ Lợi,Quận 2,Thành phố Hồ Chí Minh,662883,Tin thường,Phòng trọ Quận 2, 25m,5.5
,Phường 14,Quận 10,Thành phố Hồ Chí Minh,655123,Tin thường,Phòng trọ Quận 10, 250m,0.95
Địa chỉ: Đường Cao Đức Lân,Phường An Phú,Quận 2,Thành phố Hồ Chí Minh,663682,Tin thường,Cho thuê căn hộ mini Quận 2, 30m,6.5
Địa chỉ: Đường Bùi Tá Hán,Phường An Phú,Quận 2,Thành phố Hồ Chí Minh,663680,Tin thường,Cho thuê căn hộ mini Quận 2, 30m,6.8
Địa chỉ: Đường số 47,Phường Tân Quy,Quận 7,Thành phố Hồ Chí Minh,664083,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7, 30m,7
Địa chỉ: Đường số 35CL,Phường Cát Lái,Quận 2,Thành phố Hồ Chí Minh,664085,Tin thường,Phòng trọ Quận 2, 22m,3.8
Địa chỉ: Đường Nguyễn Văn Linh,Phường Bình Thuận,Quận 7,Thành phố Hồ Chí Minh,664006,Tin thường,Phòng trọ Quận 7, 26m,1.9
