Đường,Phường,Quận/Huyện,Thành phố,Hashtag,Gói tin,Loại phòng,Diện tích (m²),Giá phòng (triệu/tháng)
Hà Huy Giáp,Thạnh Lộc,12,Hồ Chí Minh,652425,Tin thường,Cho thuê nhà Quận 12, 70m,5
Quang Trung,11,Gò Vấp,Hồ Chí Minh,663569,Tin thường,Phòng trọ Quận Gò Vấp, 14m,1.8
Quang Trung,11,Gò Vấp,Hồ Chí Minh,663568,Tin thường,Phòng trọ Quận Gò Vấp, 14m,1.8
3  số 5,Linh Tây,Thủ Đức,Hồ Chí Minh,607998,Tin thường,Tìm người ở ghép Thủ Đức, 25m,1.8
,14,Gò Vấp,Hồ Chí Minh,593145,Tin miễn phí,Phòng trọ Quận Gò Vấp, 16m,3
Tk13/ hẻm 457  Nguyễn Cảnh Chân,Cầu Kho,1,Hồ Chí Minh,663570,Tin miễn phí,Phòng trọ Quận 1, 40m,7.5
,2,3,Hồ Chí Minh,663115,Tin thường,Phòng trọ Quận 3, 25m,4.5
Mạc Đĩnh Chi,Đa Kao,1,Hồ Chí Minh,663464,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 1, 38m,10
64  Cao Thắng,3,3,Hồ Chí Minh,662813,Tin thường,Cho thuê căn hộ dịch vụ Quận 3, 25m,5.5
Nguyễn Xiển,Long Thạnh Mỹ,9,Hồ Chí Minh,663462,Tin miễn phí,Phòng trọ Quận 9, 69m,4
,Nguyễn Cư Trinh,1,Hồ Chí Minh,663463,Tin thường,Cho thuê căn hộ dịch vụ Quận 1, 30m,6.5
,Xã Thanh Liệt,Huyện Thanh Trì,Hồ Chí Minh,663466,Tin miễn phí,Phòng trọ Huyện Thanh Trì, 30m,5
,Bình Thuận,7,Hồ Chí Minh,663465,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7, 20m,7
102  Lê Văn Thọ,9,Gò Vấp,Hồ Chí Minh,663179,Tin thường,Phòng trọ Quận Gò Vấp, 25m,3.5
156 Phố số 59,14,Gò Vấp,Hồ Chí Minh,663226,Tin thường,Phòng trọ Quận Gò Vấp, 25m,3.5
Bạch Đằng,2,Tân Bình,Hồ Chí Minh,663469,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Tân Bình, 30m,7.5
,9,Gò Vấp,Hồ Chí Minh,663419,Tin thường,Cho thuê căn hộ dịch vụ Quận Gò Vấp, 30m,5.3
,25,Bình Thạnh,Hồ Chí Minh,661827,Tin thường,Phòng trọ Quận Bình Thạnh, 35m,1.1
34/20C  Cống Lở,15,Tân Bình,Hồ Chí Minh,655141,Tin miễn phí,Phòng trọ Quận Tân Bình, 16m,2
142  Nguyễn Thị Thập,Bình Thuận,7,Hồ Chí Minh,591392,Tin thường,Phòng trọ Quận 7, 25m,3.7
,12,3,Hồ Chí Minh,591478,Tin thường,Phòng trọ Quận 3, 25m,4.7
Nguyễn Xiển,Long Bình,9,Hồ Chí Minh,663472,Tin thường,Phòng trọ Quận 9, 56m,2.5
,21,Bình Thạnh,Hồ Chí Minh,663471,Tin miễn phí,Phòng trọ Quận Bình Thạnh, 50m,1.8
239  Lĩnh Nam,Lĩnh Nam,Hoàng Mai,Hồ Chí Minh,663473,Tin miễn phí,Phòng trọ Quận Hoàng Mai, 30m,4.5
Him Lam,Tân Hưng,7,Hồ Chí Minh,663493,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7, 45m,11.8
176  Đặng Văn Ngữ,13,Phú Nhuận,Hồ Chí Minh,644684,Tin thường,Phòng trọ Quận Phú Nhuận, 30m,5.8
198  Đỗ Xuân Hợp,Phước Long A,9,Hồ Chí Minh,103580,Tin thường,Phòng trọ Quận 9, 25m,2.6
Nguyễn Lương Bằng,Phú Mỹ,7,Hồ Chí Minh,662967,Tin thường,Phòng trọ Quận 7, 15m,2.1
,15,4,Hồ Chí Minh,629748,Tin thường,Cho thuê căn hộ dịch vụ Quận 4, 25m,6
Nguyễn Lương Bằng,Phú Mỹ,7,Hồ Chí Minh,661612,Tin thường,Phòng trọ Quận 7, 35m,4
,2,4,Hồ Chí Minh,616308,Tin thường,Cho thuê căn hộ dịch vụ Quận 4, 37m,7.5
,8,Phú Nhuận,Hồ Chí Minh,663497,Tin thường,Phòng trọ Quận Phú Nhuận, 38m,6.3
Bùi Văn Ba,Tân Thuận Đông,7,Hồ Chí Minh,663496,Tin miễn phí,Phòng trọ Quận 7, 25m,3.7
Âu Dương Lân,4,8,Hồ Chí Minh,663498,Tin thường,Phòng trọ Quận 8, 18m,3.8
41 ngõ 7  Giang Văn Minh,Kim Mã,Ba Đình,Hồ Chí Minh,663443,Tin miễn phí,Phòng trọ Quận Ba Đình, 15m,2.5
120/43/10  Trần Hưng Đạo,Phạm Ngũ Lão,1,Hồ Chí Minh,593918,Tin miễn phí,Phòng trọ Quận 1, 25m,4
15  Hậu Lân,Bà Điểm,Huyện Hóc Môn,Hồ Chí Minh,663447,Tin thường,Phòng trọ Huyện Hóc Môn, 20m,3.7
265/39  Phạm Ngũ Lão,Phạm Ngũ Lão,1,Hồ Chí Minh,316022,Tin miễn phí,Phòng trọ Quận 1, 25m,1.5
265/39  Phạm Ngũ Lão,Phạm Ngũ Lão,1,Hồ Chí Minh,302229,Tin miễn phí,Phòng trọ Quận 1, 20m,4
120/43/10  Trần Hưng Đạo,Phạm Ngũ Lão,1,Hồ Chí Minh,313921,Tin miễn phí,Tìm người ở ghép Quận 1, 35m,1.5
,Phạm Ngũ Lão,1,Hồ Chí Minh,585113,Tin miễn phí,Phòng trọ Quận 1, 18m,4.2
120  số 6,Bình Trưng Tây,2,Hồ Chí Minh,310132,Tin thường,Phòng trọ Quận 2, 27m,3.1
,Tân Hưng,7,Hồ Chí Minh,663455,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7, 35m,13
,Tân Kiểng,7,Hồ Chí Minh,663452,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7, 35m,13
Hoàng Việt,4,Tân Bình,Hồ Chí Minh,663450,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Tân Bình, 40m,13.5
12  Phạm Văn Bạch,15,Tân Bình,Hồ Chí Minh,269758,Tin thường,Phòng trọ Quận Tân Bình, 20m,2.5
Đội Cấn,Liễu Giai,Ba Đình,Hồ Chí Minh,663448,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Ba Đình, 60m,8.3
Dương Bá Trạc,1,8,Hồ Chí Minh,663451,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 8, 35m,14
,Phú Đô,Nam Từ Liêm,Hồ Chí Minh,663459,Tin miễn phí,Phòng trọ Quận Nam Từ Liêm, 25m,4.5
Phố Nguyễn Xí,13,Bình Thạnh,Hồ Chí Minh,663461,Tin thường,Cho thuê căn hộ dịch vụ Quận Bình Thạnh, 35m,7
139  Bàn Cờ,3,3,Hồ Chí Minh,663054,Tin thường,Phòng trọ Quận 3, 25m,3.8
,2,Tân Bình,Hồ Chí Minh,663456,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Tân Bình, 60m,8
20  Đỗ Quang Đẩu,Phạm Ngũ Lão,1,Hồ Chí Minh,663218,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 1, 30m,5.2
Lê Văn Sỹ,14,3,Hồ Chí Minh,633314,Tin thường,Cho thuê căn hộ dịch vụ Quận 3, 35m,8
Hoàng Hoa Thám,13,Tân Bình,Hồ Chí Minh,663502,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Tân Bình, 25m,5.8
290D  Dương Bá Trạc,1,8,Hồ Chí Minh,647136,Tin thường,Phòng trọ Quận 8, 40m,1.6
số 10,13,6,Hồ Chí Minh,663503,Tin miễn phí,Phòng trọ Quận 6, 18m,2.5
,Tân Định,1,Hồ Chí Minh,663128,Tin thường,Cho thuê căn hộ dịch vụ Quận 1, 45m,12
160  Cống Quỳnh,Phạm Ngũ Lão,1,Hồ Chí Minh,643548,Tin thường,Phòng trọ Quận 1, 40m,1.8
Cách Mạng Tháng Tám,12,10,Hồ Chí Minh,662231,Tin thường,Cho thuê căn hộ dịch vụ Quận 10, 35m,8
Đặng Thuỳ Trâm,13,Bình Thạnh,Hồ Chí Minh,663505,Tin thường,Phòng trọ Quận Bình Thạnh, 50m,1.6
Cô Bắc,2,Phú Nhuận,Hồ Chí Minh,663511,Tin thường,Cho thuê căn hộ dịch vụ Quận Phú Nhuận, 30m,6
127  Ni Sư Huỳnh Liên,10,Tân Bình,Hồ Chí Minh,663508,Tin miễn phí,Cho thuê căn hộ mini Quận Tân Bình, 35m,7.3
1422/59  Huỳnh Tấn Phát,Phú Mỹ,7,Hồ Chí Minh,263241,Tin thường,Phòng trọ Quận 7, 15m,2.2
số 27,Tân Quy,7,Hồ Chí Minh,663512,Tin miễn phí,Phòng trọ Quận 7, 20m,4.8
số 8,11,Gò Vấp,Hồ Chí Minh,663488,Tin thường,Cho thuê nhà Quận Gò Vấp, 12m,7
,Xã Bình Hưng,Huyện Bình Chánh,Hồ Chí Minh,663481,Tin thường,Cho thuê căn hộ mini Huyện Bình Chánh, 40m,5.5
Quang Trung,7,Gò Vấp,Hồ Chí Minh,632860,Tin thường,Tìm người ở ghép Quận Gò Vấp, 35m,1.4
Bùi Thị Xuân,3,Tân Bình,Hồ Chí Minh,663474,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Tân Bình, 60m,9
,Xã Bình Hưng,Huyện Bình Chánh,Hồ Chí Minh,616307,Tin thường,Phòng trọ Huyện Bình Chánh, 25m,4.2
,Xã Bình Hưng,Huyện Bình Chánh,Hồ Chí Minh,309338,Tin thường,Phòng trọ Huyện Bình Chánh, 25m,4.2
1036  Phạm Hùng,Xã Bình Hưng,Huyện Bình Chánh,Hồ Chí Minh,613648,Tin thường,Phòng trọ Huyện Bình Chánh, 35m,5.5
Phạm Hùng,Xã Bình Hưng,Huyện Bình Chánh,Hồ Chí Minh,654196,Tin thường,Phòng trọ Huyện Bình Chánh, 25m,4.2
,5,8,Hồ Chí Minh,662362,Tin thường,Cho thuê căn hộ mini Quận 8, 30m,5.6
,5,8,Hồ Chí Minh,659911,Tin thường,Phòng trọ Quận 8, 30m,5.5
,10,8,Hồ Chí Minh,608332,Tin thường,Phòng trọ Quận 8, 15m,2.5
,13,4,Hồ Chí Minh,663477,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 4, 40m,9
12/41  Nguyễn Tuân,3,Gò Vấp,Hồ Chí Minh,584053,Tin thường,Phòng trọ Quận Gò Vấp, 20m,2.7
,Bình Thuận,7,Hồ Chí Minh,591772,Tin thường,Phòng trọ Quận 7, 30m,3.8
70/5  Trần Tuấn Khải,5,5,Hồ Chí Minh,658880,Tin thường,Phòng trọ Quận 5, 16m,3.6
,9,Gò Vấp,Hồ Chí Minh,650854,Tin thường,Phòng trọ Quận Gò Vấp, 25m,2.8
Trần Quốc Tuấn,1,Gò Vấp,Hồ Chí Minh,620924,Tin thường,Phòng trọ Quận Gò Vấp, 125m,1.5
62  Nguyễn Minh Hoàng,12,Tân Bình,Hồ Chí Minh,663038,Tin thường,Phòng trọ Quận Tân Bình, 30m,4
,Hiệp Phú,9,Hồ Chí Minh,648372,Tin thường,Phòng trọ Quận 9, 15m,1.4
,Tân Phú,9,Hồ Chí Minh,648417,Tin thường,Phòng trọ Quận 9, 15m,1.1
,12,10,Hồ Chí Minh,662944,Tin miễn phí,Phòng trọ Quận 10, 28m,5
Bùi Thị Xuân,3,Tân Bình,Hồ Chí Minh,663489,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Tân Bình, 30m,11
662/41  Sư Vạn Hạnh,12,10,Hồ Chí Minh,654264,Tin miễn phí,Phòng trọ Quận 10, 28m,5
Nguyễn Văn Bính,Bình Thuận,7,Hồ Chí Minh,663491,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7, 30m,7.5
,Tân Quý,Tân Phú,Hồ Chí Minh,662729,Tin miễn phí,Phòng trọ Quận Tân Phú, 25m,4.1
Nguyễn Thị Thập,Tân Quy,7,Hồ Chí Minh,663492,Tin thường,Phòng trọ Quận 7, 50m,5.5
,1,Gò Vấp,Hồ Chí Minh,637354,Tin thường,Cho thuê căn hộ mini Quận Gò Vấp, 28m,5.4
,13,Bình Thạnh,Hồ Chí Minh,646891,Tin thường,Phòng trọ Quận Bình Thạnh, 25m,4.5
158 Phố Mai Dịch,Mai Dịch,Cầu Giấy,Hồ Chí Minh,653068,Tin thường,Phòng trọ Quận Cầu Giấy, 20m,1.7
Huỳnh Tấn Phát,Thị trấn Nhà Bè,Huyện Nhà Bè,Hồ Chí Minh,271580,Tin thường,Cho thuê nhà Huyện Nhà Bè, 70m,5
165  Dương Quảng Hàm,Nghĩa Đô,Cầu Giấy,Hồ Chí Minh,653071,Tin thường,Phòng trọ Quận Cầu Giấy, 25m,1.7
,Tân Quy,7,Hồ Chí Minh,662478,Tin thường,Phòng trọ Quận 7, 18m,3.5
,4,8,Hồ Chí Minh,658398,Tin thường,Phòng trọ Quận 8, 15m,2.8
1025  Cách Mạng Tháng Tám,7,Tân Bình,Hồ Chí Minh,663479,Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Bình, 30m,6.5
số 25A,Tân Quy,7,Hồ Chí Minh,663513,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7, 22m,5.8
Nguyễn Thị Xiếu,Tân Thuận Tây,7,Hồ Chí Minh,663514,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7, 22m,5.5
5/8  B4,Tây Thạnh,Tân Phú,Hồ Chí Minh,663519,Tin miễn phí,Tìm người ở ghép Quận Tân Phú, 15m,3.4
,11,6,Hồ Chí Minh,663373,Tin thường,Cho thuê căn hộ mini Quận 6, 25m,5.2
Tân Thuận Tây,Tân Thuận Tây,7,Hồ Chí Minh,663515,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7, 23m,5.4
Lý Chiêu Hoàng,10,6,Hồ Chí Minh,663297,Tin thường,Cho thuê căn hộ dịch vụ Quận 6, 25m,5
826  Nguyễn Khoái,Thanh Trì,Hoàng Mai,Hồ Chí Minh,663518,Tin miễn phí,Cho thuê mặt bằng Quận Hoàng Mai, 100m,15
,Phú Hữu,9,Hồ Chí Minh,662627,Tin thường,Cho thuê căn hộ mini Quận 9, 30m,5.2
Liên Phường,Phú Hữu,9,Hồ Chí Minh,314809,Tin thường,Phòng trọ Quận 9, 21m,3.2
42  Trương Quyền,Võ Thị Sáu,3,Hồ Chí Minh,663523,Tin miễn phí,Phòng trọ Quận 3, 25m,6
173/45/5  Khuông Việt,Phú Trung,Tân Phú,Hồ Chí Minh,663521,Tin miễn phí,Phòng trọ Quận Tân Phú, 35m,1.8
88/13  Đào Duy Anh,9,Phú Nhuận,Hồ Chí Minh,663529,Tin miễn phí,Phòng trọ Quận Phú Nhuận, 35m,5.6
,25,Bình Thạnh,Hồ Chí Minh,663524,Tin miễn phí,Phòng trọ Quận Bình Thạnh, 25m,4
Bạch Đằng,24,Bình Thạnh,Hồ Chí Minh,663533,Tin miễn phí,Phòng trọ Quận Bình Thạnh, 22m,3.7
,12,10,Hồ Chí Minh,663531,Tin miễn phí,Phòng trọ Quận 10, 45m,7.8
Trần Văn Dư,13,Tân Bình,Hồ Chí Minh,663537,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Tân Bình, 30m,6
1243  Hoàng Sa,5,Tân Bình,Hồ Chí Minh,663534,Tin thường,Phòng trọ Quận Tân Bình, 30m,5.8
Cống Quỳnh,Phạm Ngũ Lão,1,Hồ Chí Minh,663538,Tin thường,Cho thuê căn hộ dịch vụ Quận 1, 30m,8
66/175  Xô Viết Nghệ Tĩnh,21,Bình Thạnh,Hồ Chí Minh,658033,Tin miễn phí,Phòng trọ Quận Bình Thạnh, 30m,3.5
,17,Bình Thạnh,Hồ Chí Minh,647530,Tin thường,Phòng trọ Quận Bình Thạnh, 10m,2.5
702/32  Xô Viết Nghệ Tĩnh,25,Bình Thạnh,Hồ Chí Minh,592323,Tin thường,Phòng trọ Quận Bình Thạnh, 20m,3.6
số 3/2,10,10,Hồ Chí Minh,659039,Tin thường,Cho thuê căn hộ dịch vụ Quận 10, 25m,5.5
Đinh Tiên Hoàng,2,Bình Thạnh,Hồ Chí Minh,642528,Tin thường,Phòng trọ Quận Bình Thạnh, 35m,6.2
Huỳnh Tấn Phát,Phú Thuận,7,Hồ Chí Minh,663540,Tin miễn phí,Cho thuê căn hộ Quận 7, 30m,5.6
19  Bùi Văn Thêm,9,Phú Nhuận,Hồ Chí Minh,663539,Tin thường,Cho thuê căn hộ dịch vụ Quận Phú Nhuận, 30m,4.8
,2,Bình Thạnh,Hồ Chí Minh,632874,Tin thường,Cho thuê căn hộ dịch vụ Quận Bình Thạnh, 30m,5.5
380  Nguyễn Thị Minh Khai,5,3,Hồ Chí Minh,663220,Tin thường,Phòng trọ Quận 3, 30m,5.5
55  Trần Hưng Đạo,6,5,Hồ Chí Minh,641426,Tin thường,Phòng trọ Quận 5, 30m,5.2
97  Hiền Vương,Phú Thạnh,Tân Phú,Hồ Chí Minh,656302,Tin thường,Phòng trọ Quận Tân Phú, 8.75m,0.8
Nguyễn Gia Trí,25,Bình Thạnh,Hồ Chí Minh,663553,Tin thường,Phòng trọ Quận Bình Thạnh, 25m,4
97  Hiền Vương,Phú Thạnh,Tân Phú,Hồ Chí Minh,656301,Tin thường,Phòng trọ Quận Tân Phú, 8.75m,0.9
Trưng Mỹ Tây 14,Trung Mỹ Tây,12,Hồ Chí Minh,663554,Tin thường,Cho thuê căn hộ dịch vụ Quận 12, 45m,5
Tên Lửa,Bình Trị Đông B,Bình Tân,Hồ Chí Minh,316451,Tin thường,Phòng trọ Quận Bình Tân, 30m,2.5
215  Nguyễn Văn Hưởng,Thảo Điền,2,Hồ Chí Minh,296290,Tin thường,Cho thuê nhà Quận 2, 500m,25
,Trường Thạnh,9,Hồ Chí Minh,663556,Tin thường,Phòng trọ Quận 9, 120m,1.5
,Cát Lái,2,Hồ Chí Minh,663559,Tin thường,Phòng trọ Quận 2, 20m,3.7
,Tân Hưng,7,Hồ Chí Minh,663560,Tin thường,Cho thuê căn hộ dịch vụ Quận 7, 40m,7
Cô Bắc,Cô Giang,1,Hồ Chí Minh,663562,Tin miễn phí,Cho thuê nhà Quận 1, 25m,12
số 35CL,Cát Lái,2,Hồ Chí Minh,663561,Tin thường,Cho thuê căn hộ mini Quận 2, 45m,6.5
Yên Thế,2,Tân Bình,Hồ Chí Minh,663564,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Tân Bình, 20m,6.2
,P.5,Phú Nhuận,Hồ Chí Minh,96825,Tin thường,Phòng trọ Quận Phú Nhuận, 20m,2.8
96  Tân Mỹ,Tân Thuận Tây,7,Hồ Chí Minh,663565,Tin miễn phí,Phòng trọ Quận 7, 25m,3.6
Nơ Trang Long,13,Bình Thạnh,Hồ Chí Minh,639461,Tin miễn phí,Phòng trọ Quận Bình Thạnh, 17m,2
,7,Phú Nhuận,Hồ Chí Minh,663468,Tin thường,Phòng trọ Quận Phú Nhuận, 35m,1.3
41f  Đặng Thuỳ Trâm,13,Bình Thạnh,Hồ Chí Minh,642986,Tin thường,Tìm người ở ghép Quận Bình Thạnh, 32m,1.8
64/10  Hoàng Hữu Nam,Long Thạnh Mỹ,9,Hồ Chí Minh,663572,Tin miễn phí,Tìm người ở ghép Quận 9, 100m,7.5
Tk13/8 hem 457  Nguyễn Cảnh Chân,Cầu Kho,1,Hồ Chí Minh,663571,Tin miễn phí,Phòng trọ Quận 1, 16m,4.00E-06
273  Tô Hiến Thành,12,10,Hồ Chí Minh,663574,Tin thường,Cho thuê căn hộ dịch vụ Quận 10, 40m,5.3
Tô Hiến Thành,14,10,Hồ Chí Minh,663573,Tin miễn phí,Phòng trọ Quận 10, 30m,5.1
237/46  Trần Văn Đang,11,3,Hồ Chí Minh,634071,Tin miễn phí,Phòng trọ Quận 3, 15m,2.6
4/19  Văn Chung,13,Tân Bình,Hồ Chí Minh,156841,Tin thường,Phòng trọ Quận Tân Bình, 20m,2.3
Trần Thị Nghĩ,7,Gò Vấp,Hồ Chí Minh,634053,Tin thường,Phòng trọ Quận Gò Vấp, 35m,1.4
Khuất Duy Tiến,Thanh Xuân Bắc,Thanh Xuân,Hồ Chí Minh,654301,Tin thường,Phòng trọ Quận Thanh Xuân, 20m,1.7
,4,Tân Bình,Hồ Chí Minh,663543,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Tân Bình, 40m,13.5
252  Tây Sơn,Thịnh Quang,Đống Đa,Hồ Chí Minh,660570,Tin thường,Phòng trọ Quận Đống Đa, 20m,1.75
390  Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,Hồ Chí Minh,651586,Tin thường,Phòng trọ Quận Thanh Xuân, 25m,1.7
,13,10,Hồ Chí Minh,277588,Tin thường,Phòng trọ Quận 10, 25m,2.8
,6,Bình Thạnh,Hồ Chí Minh,663545,Tin thường,Phòng trọ Quận Bình Thạnh, 30m,6.2
,Trung Mỹ Tây,12,Hồ Chí Minh,663549,Tin thường,Cho thuê căn hộ dịch vụ Quận 12, 27m,3
Nguyễn Sơn,Phú Thọ Hòa,Tân Phú,Hồ Chí Minh,663546,Tin thường,Cho thuê căn hộ mini Quận Tân Phú, 40m,3.3
,8,Gò Vấp,Hồ Chí Minh,142173,Tin VIP 3,Phòng trọ Quận Gò Vấp, 30m,3.5
160/1/30  Đặng Thuỳ Trâm,13,Bình Thạnh,Hồ Chí Minh,202093,Tin VIP 3,Phòng trọ Quận Bình Thạnh, 50m,5.5
10  Đào Duy Anh,9,Phú Nhuận,Hồ Chí Minh,664181,Tin thường,Phòng trọ Quận Phú Nhuận, 35m,5.55
14  Nguyễn Văn Lượng,6,Gò Vấp,Hồ Chí Minh,664129,Tin thường,Phòng trọ Quận Gò Vấp, 25m,4.9
Lê Văn Lương,Xã Phước Kiển,Huyện Nhà Bè,Hồ Chí Minh,664177,Tin miễn phí,Cho thuê nhà Huyện Nhà Bè, 50m,4.5
,11,6,Hồ Chí Minh,664179,Tin miễn phí,Cho thuê căn hộ Quận 6, 125m,15
Phạm Văn Nghị,Tân Phong,7,Hồ Chí Minh,664100,Tin thường,Cho thuê mặt bằng Quận 7, 166m,36
Trường Chinh,13,Tân Bình,Hồ Chí Minh,662855,Tin thường,Phòng trọ Quận Tân Bình, 35m,1.5
,Thạnh Lộc,12,Hồ Chí Minh,664102,Tin miễn phí,Phòng trọ Quận 12, 30m,4.3
333  Lê Văn Sỹ,1,Tân Bình,Hồ Chí Minh,664101,Tin miễn phí,Cho thuê căn hộ mini Quận Tân Bình, 45m,9
57  số 8,An Khánh,2,Hồ Chí Minh,664103,Tin thường,Cho thuê căn hộ dịch vụ Quận 2, 42m,9
61/  Nguyễn Hiền,4,3,Hồ Chí Minh,602161,Tin thường,Phòng trọ Quận 3, 25m,3.6
Trần Quang Diệu,14,3,Hồ Chí Minh,663982,Tin thường,Phòng trọ Quận 3, 15m,3.5
,4,8,Hồ Chí Minh,664178,Tin thường,Phòng trọ Quận 8, 25m,4.8
147  Triều Khúc,Thanh Xuân Nam,Thanh Xuân,Hồ Chí Minh,588055,Tin thường,Phòng trọ Quận Thanh Xuân, 25m,3.8
D4,Tân Hưng,7,Hồ Chí Minh,661606,Tin thường,Phòng trọ Quận 7, 22m,5.3
165  Phan Văn Hớn,Tân Thới Nhất,12,Hồ Chí Minh,663969,Tin thường,Cho thuê căn hộ dịch vụ Quận 12, 35m,6.4
,5,8,Hồ Chí Minh,660221,Tin thường,Phòng trọ Quận 8, 20m,4
Phạm Văn Bạch,15,Tân Bình,Hồ Chí Minh,663964,Tin thường,Phòng trọ Quận Tân Bình, 25m,3
,Bình Trị Đông B,Bình Tân,Hồ Chí Minh,652362,Tin thường,Phòng trọ Quận Bình Tân, 20m,5.5
Nguyễn Duy Trinh,Bình Trưng Tây,2,Hồ Chí Minh,663974,Tin miễn phí,Phòng trọ Quận 2, 25m,3.8
59  ĐT 741,Xã Chánh Phú Hòa,Huyện Bến Cát,Hồ Chí Minh,664021,Tin miễn phí,Phòng trọ Huyện Bến Cát, 25m,1.5
Quang Trung,10,Gò Vấp,Hồ Chí Minh,583683,Tin thường,Cho thuê căn hộ mini Quận Gò Vấp, 40m,5.5
112  Hoa Đào,6,Phú Nhuận,Hồ Chí Minh,663975,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Phú Nhuận, 70m,12
Nguyễn Hữu Thọ,Xã Phước Kiển,Huyện Nhà Bè,Hồ Chí Minh,660804,Tin thường,Phòng trọ Huyện Nhà Bè, 18m,3.6
87  số 6,10,Gò Vấp,Hồ Chí Minh,590849,Tin thường,Phòng trọ Quận Gò Vấp, 100m,1.4
Lam Sơn,2,Tân Bình,Hồ Chí Minh,663978,Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Bình, 35m,7
Hồ Văn Huê,9,Phú Nhuận,Hồ Chí Minh,663977,Tin thường,Cho thuê căn hộ dịch vụ Quận Phú Nhuận, 22m,5.5
Nguyễn Hữu Thọ,Xã Phước Kiển,Huyện Nhà Bè,Hồ Chí Minh,661613,Tin thường,Phòng trọ Huyện Nhà Bè, 20m,3.7
15B,Phú Mỹ,7,Hồ Chí Minh,279795,Tin miễn phí,Phòng trọ Quận 7, 161m,1.7
,Nguyễn Thái Bình,1,Hồ Chí Minh,663979,Tin miễn phí,Cho thuê căn hộ mini Quận 1, 40m,7.5
Âu Cơ,Phú Trung,Tân Phú,Hồ Chí Minh,659920,Tin thường,Phòng trọ Quận Tân Phú, 25m,4.3
136/11/8  Trần Quang Diệu,14,3,Hồ Chí Minh,663981,Tin miễn phí,Cho thuê nhà Quận 3, 50m,5
Dương Bá Trạc,1,8,Hồ Chí Minh,663991,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 8, 30m,6.5
,Thạnh Mỹ Lợi,2,Hồ Chí Minh,634090,Tin thường,Tìm người ở ghép Quận 2, 80m,4.1
Trần Hưng Đạo,Phạm Ngũ Lão,1,Hồ Chí Minh,663993,Tin thường,Cho thuê căn hộ dịch vụ Quận 1, 45m,7.7
Nguyễn Duy Trinh,Bình Trưng Tây,2,Hồ Chí Minh,622121,Tin thường,Phòng trọ Quận 2, 35m,4
Quốc Hương,Thảo Điền,2,Hồ Chí Minh,627793,Tin thường,Cho thuê căn hộ dịch vụ Quận 2, 40m,7.5
Trần Não,An Khánh,2,Hồ Chí Minh,619894,Tin thường,Cho thuê căn hộ Quận 2, 40m,6.5
Tạ Hiện,Thạnh Mỹ Lợi,2,Hồ Chí Minh,653152,Tin thường,Cho thuê căn hộ dịch vụ Quận 2, 40m,7
Mai Chí Thọ,An Phú,2,Hồ Chí Minh,653342,Tin thường,Cho thuê căn hộ dịch vụ Quận 2, 70m,7
Tạ Hiện,Bình Trưng Tây,2,Hồ Chí Minh,622741,Tin thường,Cho thuê căn hộ Quận 2, 40m,5.4
Nguyễn Văn Hưởng,Thảo Điền,2,Hồ Chí Minh,621748,Tin thường,Cho thuê căn hộ dịch vụ Quận 2, 50m,6.5
Nguyễn Thị Định,Bình Trưng Tây,2,Hồ Chí Minh,624976,Tin thường,Phòng trọ Quận 2, 35m,4.3
,9,Tân Bình,Hồ Chí Minh,663994,Tin thường,Phòng trọ Quận Tân Bình, 28m,4.3
số 19,An Khánh,2,Hồ Chí Minh,663995,Tin thường,Cho thuê căn hộ dịch vụ Quận 2, 35m,5.5
,14,11,Hồ Chí Minh,663996,Tin thường,Phòng trọ Quận 11, 35m,4.5
Tạ Hiện,Thạnh Mỹ Lợi,2,Hồ Chí Minh,663997,Tin thường,Cho thuê căn hộ dịch vụ Quận 2, 50m,9
