diachi;phanloai;dientich;gia;goitin;giogiactudo;tulanh;maylanh;Daydunoithat;maygiat;gac;khongchungchu
Kinh Dương Vương, Phường 13, Quận 6, Hồ Chí Minh - ; None; 28 m; None; Tin thường; 1; 0; 1; 1; 1; 1; 0
142 Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 1; 0; 1; 1; 0; 0
Đường số 1, Phường Tân Phú, Quận 7, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 1; 0; 0; 0; 1; 1; 1
466 Lê Văn Sỹ, Phường 14, Quận 3, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 0; 1; 1; 0; 1; 0; 0
243/37/31 Hoàng Diệu, Phường 8, Quận 4, Hồ Chí Minh - ; None; 20 m; None; Tin miễn phí; 1; 0; 0; 0; 1; 1; 0
507/34c Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh - ; None; 22 m; None; Tin thường; 1; 0; 1; 1; 1; 0; 1
332 Đường Độc Lập, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 0; 1; 0; 1; 1; 0
Quận 7, Hồ Chí Minh - ; None; 50 m; None; Tin miễn phí; 0; 0; 0; 1; 0; 1; 0
Đường số 35CL, Phường Cát Lái, Quận 2, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 0; 0; 1; 1; 1; 0
79, Phường Tân Quy, Quận 7, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 0; 0; 0; 0; 1; 1
Bến Cát, Phường 7, Quận Tân Bình, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 1; 0; 0; 0; 0; 1
443/10 Đường Điện Biên Phủ, Phường 3, Quận 3, Hồ Chí Minh - ; None; 7 m; None; Tin thường; 0; 1; 1; 0; 0; 0; 1
Ngõ 394 Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội - ; None; 15 m; None; Tin miễn phí; 0; 0; 1; 1; 0; 0; 1
5 Alexandre, Phường Đa Kao, Quận 1, Hồ Chí Minh - ; None; 50 m; None; Tin miễn phí; 0; 0; 0; 0; 0; 1; 1
47/2 Đường số 27, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh - ; None; 20 m; None; Tin miễn phí; 0; 1; 0; 0; 0; 0; 1
1369 Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 0; 1; 1; 1; 0; 0
24 Đường Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 0; 0; 1; 0; 1; 0
5B Đường Bến Cát, Phường 7, Quận Tân Bình, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 0; 1; 0; 0; 1; 0
28 ngõ 84 Đường Võ Thị Sáu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội - ; None; 18 m; None; Tin thường; 0; 1; 0; 0; 1; 1; 1
260/25g Lê Thị Hà, Xã Tân Xuân, Huyện Hóc Môn, Hồ Chí Minh - ; None; 500 m; None; Tin thường; 0; 1; 0; 0; 1; 1; 0
53/26 Đường Nguyễn Hồng Đào, Phường 14, Quận Tân Bình, Hồ Chí Minh - ; None; 26 m; None; Tin miễn phí; 1; 1; 0; 1; 0; 0; 1
Trần Bá Giao, Phường 6, Quận Gò Vấp, Hồ Chí Minh - ; None; 28 m; None; Tin thường; 1; 0; 1; 1; 1; 1; 0
Tôn Thất Thuyết, Phường 18, Quận 4, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 1; 1; 1; 0; 0; 1
Đường D2, Phường 25, Quận Bình Thạnh, Hồ Chí Minh - ; None; 40 m; None; Tin thường; 1; 1; 1; 1; 0; 1; 1
Tân Sơn Nhì, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 1; 1; 0; 0; 1; 0; 1
200/26 Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 0; 0; 1; 0; 0; 0
Phan Anh, Phường Hiệp Tân, Quận Tân Phú, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 1; 1; 1; 0; 0; 0
122 Đường Thoại Ngọc Hầu, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh - ; None; 5 m; None; Tin thường; 0; 1; 1; 1; 1; 0; 1
Trịnh Hoài Đức, Phường Hiệp Phú, Quận 9, Hồ Chí Minh - ; None; 28 m; None; Tin thường; 1; 1; 0; 1; 0; 0; 1
Võ Văn Hát, Phường Long Trường, Quận 9, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 0; 0; 0; 1; 0; 0
283 Đường Cách Mạng Tháng Tám, Phường 12, Quận 10, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 0; 0; 0; 1; 1; 0
98/20 Đường Bạch Đằng, Phường 2, Quận Tân Bình, Hồ Chí Minh - ; None; 40 m; None; Tin miễn phí; 1; 1; 1; 1; 0; 1; 0
34 Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội - ; None; 25 m; None; Tin miễn phí; 1; 1; 1; 0; 0; 1; 1
22 ngo 575 Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội - ; None; 35 m; None; Tin thường; 0; 0; 1; 1; 1; 1; 0
Đường Tân Chánh Hiệp 18, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh - ; None; 24 m; None; Tin miễn phí; 0; 0; 1; 0; 1; 1; 1
Văn Thân, Phường 8, Quận 6, Hồ Chí Minh - ; None; 25 m; None; Tin miễn phí; 1; 1; 1; 0; 0; 1; 0
Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh - ; None; 65 m; None; Tin thường; 0; 0; 1; 0; 1; 0; 1
201 B6 ngõ 26 Doãn Kế Thiện, Mai Dịch Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội - ; None; 20 m; None; Tin miễn phí; 1; 1; 0; 1; 0; 0; 0
Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 0; 1; 0; 0; 0; 0
214 Nguyễn Oanh, Phường 17, Quận Gò Vấp, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 1; 1; 1; 1; 0; 1
Đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 0; 1; 0; 1; 0; 1
947 Đường Cách Mạng Tháng Tám, Phường 7, Quận Tân Bình, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 1; 0; 1; 0; 1; 1
Lê Vĩnh Hòa, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh - ; None; 40 m; None; Tin thường; 1; 1; 0; 1; 0; 0; 0
87 Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 1; 0; 0; 1; 1; 0
53/34 Đường Bình Lợi, Phường 13, Quận Bình Thạnh, Hồ Chí Minh - ; None; 18 m; None; Tin thường; 0; 0; 1; 1; 1; 1; 0
Lê Trọng Tấn, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 0; 0; 1; 1; 0; 1
20/4Bis Đường Hồ Hảo Hớn, Phường Cô Giang, Quận 1, Hồ Chí Minh - ; None; 12 m; None; Tin miễn phí; 1; 1; 0; 1; 0; 0; 1
Cộng Hòa, Phường 13, Quận Tân Bình, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 0; 1; 0; 0; 0; 1; 1
Đường Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Hồ Chí Minh - ; None; 40 m; None; Tin thường; 1; 1; 1; 0; 0; 1; 0
Hoàng Văn Thụ, Phường 15, Quận Phú Nhuận, Hồ Chí Minh - ; None; 38 m; None; Tin thường; 0; 0; 0; 0; 1; 0; 0
3/2, Phường 14, Quận 10, Hồ Chí Minh - ; None; 250 m; None; Tin thường; 0; 0; 0; 0; 1; 1; 0
Huỳnh Khương An, Phường 5, Quận Gò Vấp, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 0; 0; 1; 0; 0; 1
735 Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh - ; None; 28 m; None; Tin miễn phí; 1; 1; 0; 0; 1; 1; 0
Khu Phố 7 Đường Trần Hưng Đạo, Phường Thị trấn An Thới, Thành phố Phú Quốc, Kiên Giang - ; None; 80 m; None; Tin miễn phí; 1; 1; 0; 0; 1; 0; 0
133 Dương Văn Dương, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 0; 1; 0; 1; 1; 1; 1
8 Phan Huy Ích, Phường 15, Quận Tân Bình, Hồ Chí Minh - ; None; 28 m; None; Tin thường; 0; 1; 0; 1; 1; 1; 0
142 Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Hồ Chí Minh - ; None; 28 m; None; Tin thường; 1; 0; 0; 0; 1; 0; 0
Tôn Thất Thuyết, Phường 3, Quận 4, Hồ Chí Minh - ; None; 10 m; None; Tin miễn phí; 1; 1; 0; 0; 0; 0; 1
Bàu Cát Đôi, Phường 12, Quận Tân Bình, Hồ Chí Minh - ; None; 35 m; None; Tin miễn phí; 0; 1; 1; 0; 1; 1; 1
457/43 Đường Lê Văn Thọ, Phường 9, Quận Gò Vấp, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 0; 0; 1; 1; 1; 0; 1
Đường số 4, Phường Linh Xuân, Thủ Đức, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 0; 1; 1; 0; 1; 0
Đường Lã Xuân Oai, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 1; 1; 0; 1; 1; 0; 0
Khuông Việt, Phường Phú Trung, Quận Tân Phú, Hồ Chí Minh - ; None; 40 m; None; Tin miễn phí; 0; 0; 1; 1; 1; 1; 0
870 Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 1; 1; 1; 0; 1; 0
87/30 Đường số 27, Phường 6, Quận Gò Vấp, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 0; 1; 0; 0; 1; 0
248 Quốc Lộ 13, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 0; 0; 0; 0; 0; 0
412 Đường Huỳnh Mẫn Đạt, Phường 2, Quận 5, Hồ Chí Minh - ; None; 22 m; None; Tin thường; 0; 1; 1; 1; 1; 0; 0
145 Đường Tân Hương, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 1; 0; 1; 0; 0; 0
Phường 1, Quận 5, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 0; 0; 1; 0; 0; 1
Đường Đông Ngạc, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội - ; None; 29 m; None; Tin miễn phí; 1; 0; 0; 0; 1; 0; 0
Cự Lộc, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội - ; None; 30 m; None; Tin miễn phí; 1; 1; 0; 1; 1; 1; 1
Đường Mỹ Đình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội - ; None; 30 m; None; Tin miễn phí; 0; 1; 1; 0; 1; 0; 1
Đình Thôn, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội - ; None; 35 m; None; Tin miễn phí; 0; 1; 1; 1; 0; 0; 1
Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội - ; None; 20 m; None; Tin miễn phí; 0; 0; 1; 1; 1; 1; 0
570 Bình Long, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 0; 0; 1; 0; 0; 1
Nguyễn Quang Bích, Phường 13, Quận Tân Bình, Hồ Chí Minh - ; None; 22 m; None; Tin thường; 0; 1; 1; 1; 1; 1; 0
10 Tân Thới Nhất 13, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 1; 1; 0; 1; 1; 1
Đường Cống Quỳnh, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 0; 0; 0; 0; 0; 0
Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 0; 1; 1; 0; 1; 0; 0
20 67, Phường Tân Quy, Quận 7, Hồ Chí Minh - ; None; 40 m; None; Tin thường; 0; 1; 0; 1; 1; 0; 1
40 Đường số 25, Phường Tân Quy, Quận 7, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 0; 0; 0; 1; 1; 0
Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 1; 1; 1; 0; 1; 0
28A/8 Đường Phạm Viết Chánh, Phường 19, Quận Bình Thạnh, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 0; 0; 0; 1; 0; 0; 1
Phạm Văn Bạch, Phường 12, Quận Gò Vấp, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 0; 1; 1; 0; 0; 0
71 Bùi Xương Tự, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng - ; None; 25 m; None; Tin miễn phí; 0; 1; 0; 0; 0; 1; 0
Phạm Văn Bạch, Phường 12, Quận Gò Vấp, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 1; 1; 0; 1; 0; 1
12/41 Đường Nguyễn Tuân, Phường 3, Quận Gò Vấp, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 1; 0; 1; 0; 0; 0
637 Đường Tỉnh Lộ 10, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 0; 0; 0; 0; 0; 0
Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 0; 1; 1; 0; 0; 1
Đường số 12, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh - ; None; 25 m; None; Tin miễn phí; 0; 0; 0; 0; 0; 0; 1
Trịnh Khắc Lập, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 0; 0; 0; 1; 0; 0
113/1 Lý Chiêu Hoàng, Phường 10, Quận 6, Hồ Chí Minh - ; None; 23 m; None; Tin thường; 0; 0; 0; 1; 0; 0; 1
1365 Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 0; 1; 1; 0; 1; 0
496 Dương Quảng Hàm, Phường 6, Quận Gò Vấp, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 0; 0; 0; 1; 1; 0
Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 1; 1; 1; 1; 0; 1
Nguyễn Ảnh Thủ, Phường Hiệp Thành, Quận 12, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 0; 0; 1; 0; 1; 0
500 Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 0; 0; 1; 1; 0; 0; 1
Đường Đặng Văn Bi, Phường Trường Thọ, Quận Thủ Đức, Hồ Chí Minh - ; None; 135 m; None; Tin thường; 0; 0; 0; 1; 1; 0; 1
72 đường 2KDC Khang An Đường Liên Phường, Phường Phước Long B, Quận 9, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 0; 0; 1; 0; 0; 1; 0
Kinh Dương Vương, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 1; 1; 0; 1; 1; 1
Phú Thuận, Phường Bình Thuận, Quận 7, Hồ Chí Minh - ; None; 50 m; None; Tin thường; 1; 1; 0; 1; 0; 0; 1
79/14 Đường Trần Văn Đang, Phường 9, Quận 3, Hồ Chí Minh - ; None; 18 m; None; Tin thường; 0; 0; 0; 0; 1; 0; 1
10A, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh - ; None; 25 m; None; Tin miễn phí; 0; 0; 0; 0; 1; 0; 1
Đường số 3, Phường Tân Kiểng, Quận 7, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 0; 1; 0; 1; 1; 1; 1
Đường Nguyễn Văn Công, Phường 3, Quận Gò Vấp, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 1; 1; 1; 0; 0; 1
142/1 Đường Nguyễn Đình Chiểu, Phường Nghĩa Lộ, Thành phố Quãng Ngãi, Quảng Ngãi - ; None; 25 m; None; Tin miễn phí; 0; 0; 0; 0; 0; 0; 1
98 Đường Tây Sơn, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh - ; None; 40 m; None; Tin miễn phí; 0; 0; 0; 1; 1; 1; 0
Đường Cộng Hòa, Phường 13, Quận Tân Bình, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 0; 0; 0; 0; 0; 1; 0
356 Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 1; 0; 1; 0; 0; 0
41/17 đường 35, Phường Hiệp Bình Chánh, Quận Thủ Đức, Hồ Chí Minh - ; None; 14 m; None; Tin miễn phí; 1; 1; 0; 0; 1; 0; 1
Đường Đào Trinh Nhất, Phường Linh Tây, Thủ Đức, Hồ Chí Minh - ; None; 50 m; None; Tin miễn phí; 1; 0; 1; 1; 1; 1; 0
Đường Lê Văn Sỹ, Phường 13, Quận 3, Hồ Chí Minh - ; None; 20 m; None; Tin miễn phí; 1; 0; 0; 1; 0; 1; 0
57 Đường Tô Hiến Thành, Phường Phúc La, Quận Hà Đông, Hà Nội - ; None; 12 m; None; Tin thường; 0; 1; 1; 1; 1; 0; 0
766/16/23/17 Đường Cách Mạng Tháng Tám, Phường 5, Quận Tân Bình, Hồ Chí Minh - ; None; 35 m; None; Tin miễn phí; 1; 1; 1; 0; 1; 1; 0
53D Đường Lê Thúc Hoạch, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh - ; None; 35 m; None; Tin miễn phí; 1; 1; 1; 0; 1; 1; 1
58 Đường Nguyễn Minh Hoàng, Phường 12, Quận Tân Bình, Hồ Chí Minh - ; None; 35 m; None; Tin miễn phí; 0; 0; 0; 0; 1; 0; 0
Hẻm 78 Đường Cộng Hòa, Phường 4, Quận Tân Bình, Hồ Chí Minh - ; None; 35 m; None; Tin miễn phí; 1; 1; 1; 0; 1; 1; 1
Đường Nguyễn Thi, Phường 13, Quận 5, Hồ Chí Minh - ; None; 10 m; None; Tin thường; 1; 0; 1; 1; 0; 1; 1
Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh - ; None; 24 m; None; Tin thường; 0; 0; 1; 0; 1; 0; 0
Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh - ; None; 35 m; None; Tin miễn phí; 0; 1; 0; 1; 0; 1; 1
Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 0; 1; 1; 1; 0; 1; 0
Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 0; 1; 1; 0; 0; 0
Phố Lý Thường Kiệt, Phường 6, Quận Tân Bình, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 1; 1; 0; 1; 0; 1; 1
Đường Quang Trung, Phường 7, Quận Gò Vấp, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 1; 0; 1; 1; 1; 1; 1
Đường Trần Thị Nghĩ, Phường 7, Quận Gò Vấp, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 1; 0; 0; 1; 1; 1
153 Đường Nguyễn Văn Quá, Phường Tân Hưng Thuận, Quận 12, Hồ Chí Minh - ; None; 18 m; None; Tin miễn phí; 1; 0; 1; 1; 0; 1; 1
Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 1; 1; 0; 0; 0; 1
1084 Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 0; 1; 1; 0; 1; 0; 1
Đường Trường Chinh, Phường 14, Quận Tân Bình, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 1; 0; 0; 0; 1; 1
Nhất Chi Mai, Phường 13, Quận Tân Bình, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 0; 0; 0; 0; 0; 0; 0
192/16 Đường Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, Hồ Chí Minh - ; None; 18 m; None; Tin thường; 1; 1; 0; 1; 1; 0; 1
26/42 Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh - ; None; 22 m; None; Tin thường; 1; 0; 0; 0; 0; 0; 1
Đường Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh - ; None; 15 m; None; Tin thường; 1; 0; 0; 1; 0; 0; 1
137 Đường Phan Anh, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 1; 1; 0; 1; 0; 1; 1
Chợ Lớn Đường Lý Chiêu Hoàng, Phường 11, Quận 6, Hồ Chí Minh - ; None; 9 m; None; Tin thường; 1; 1; 1; 1; 1; 0; 1
Lã Xuân Oai, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 1; 0; 0; 0; 1; 1
Đường số 3/2, Phường 12, Quận 10, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 0; 1; 1; 1; 1; 1; 1
Đường Lê Văn Việt, Phường Tân Phú, Quận 9, Hồ Chí Minh - ; None; 28 m; None; Tin thường; 0; 1; 1; 1; 0; 1; 1
Đường số 3/2, Phường 12, Quận 10, Hồ Chí Minh - ; None; 35 m; None; Tin miễn phí; 0; 0; 0; 1; 1; 0; 0
91 Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 0; 1; 0; 1; 1; 0; 1
22/8 Đại Nghĩa, Phường 6, Quận Tân Bình, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 0; 0; 1; 1; 1; 0; 0
56 Đường số 2, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 1; 1; 0; 0; 1; 0; 0
Lê Trọng Tấn, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh - ; None; 18 m; None; Tin miễn phí; 0; 1; 0; 1; 1; 0; 0
Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng - ; None; 24 m; None; Tin thường; 0; 0; 0; 1; 1; 1; 0
16 Đường Đào Tấn, Phường 5, Quận 5, Hồ Chí Minh - ; None; 12 m; None; Tin thường; 1; 0; 0; 0; 0; 0; 0
116 Đường Lê Lợi, Phường 4, Quận Gò Vấp, Hồ Chí Minh - ; None; 20 m; None; Tin miễn phí; 1; 1; 1; 1; 1; 1; 1
39 Đường số 27, Phường Hiệp Bình Chánh, Quận Thủ Đức, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 1; 1; 0; 1; 0; 0
Đường số 3/2, Phường An Khánh, Quận Ninh Kiều, Cần Thơ - ; None; 30 m; None; Tin miễn phí; 1; 1; 0; 0; 1; 1; 0
116 Đường số 4, Phường Đông Hòa, Thành phố Dĩ An, Bình Dương - ; None; 30 m; None; Tin miễn phí; 0; 1; 1; 0; 1; 0; 0
Đường Xuân Diệu, Phường 12, Quận Tân Bình, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 1; 1; 0; 1; 1; 1
1365 Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 0; 0; 1; 0; 1; 1
Phố Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh - ; None; 25 m; None; Tin miễn phí; 0; 1; 0; 1; 1; 0; 0
19B Trần Văn Ơn, Phường Nguyễn Văn Cừ, Thành Phố Quy Nhơn, Bình Định - ; None; 25 m; None; Tin miễn phí; 0; 0; 1; 1; 1; 1; 0
89 Đường Phan Chu Trinh, Phường Đống Đa, Thành Phố Quy Nhơn, Bình Định - ; None; 20 m; None; Tin miễn phí; 0; 1; 1; 0; 1; 1; 1
Phố Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 0; 0; 0; 0; 1; 0; 1
Đường Nguyễn Thị Minh Khai, Phường Nguyễn Văn Cừ, Thành Phố Quy Nhơn, Bình Định - ; None; 35 m; None; Tin miễn phí; 0; 1; 1; 0; 0; 1; 1
Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh - ; None; 20 m; None; Tin miễn phí; 0; 0; 0; 1; 0; 1; 0
Đường số 5, Phường Dĩ An, Thành phố Dĩ An, Bình Dương - ; None; 32 m; None; Tin thường; 0; 1; 1; 0; 1; 0; 0
196/7 Đường Đặng Thuỳ Trâm, Phường 13, Quận Bình Thạnh, Hồ Chí Minh - ; None; 18 m; None; Tin thường; 1; 1; 0; 0; 0; 0; 1
Nguyễn Thái Sơn, Phường 6, Quận Gò Vấp, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 0; 0; 0; 0; 0; 0
Lê Tuấn Mậu, Phường 13, Quận 6, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 0; 1; 1; 1; 0; 0
Lê Văn Quới, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 0; 0; 1; 1; 1; 0; 0
99 Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội - ; None; 30 m; None; Tin miễn phí; 0; 1; 0; 0; 1; 1; 1
Đường Khuông Việt, Phường Phú Trung, Quận Tân Phú, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 1; 1; 0; 0; 0; 0
Đường Hoàng Hoa Thám, Phường 12, Quận Tân Bình, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 1; 1; 0; 0; 0; 1; 1
80 Trần Duy Hưng, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội - ; None; 25 m; None; Tin thường; 0; 0; 0; 0; 0; 0; 1
Phan Huy Ích, Phường 12, Quận Gò Vấp, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 0; 0; 1; 0; 1; 1
Gò Dầu, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 1; 0; 1; 1; 0; 0
Phan Huy Ích, Phường 12, Quận Gò Vấp, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 0; 1; 0; 1; 1; 1
Đường số 3/2, Phường 12, Quận 10, Hồ Chí Minh - ; None; 18 m; None; Tin miễn phí; 0; 1; 1; 1; 1; 1; 1
